Location,Region,Weather station,Latitude (N),Longitude (W),Elevation (m),January DegreeC  -LowRecord,January DegreeC  -LowAverage,January DegreeC  -HighAverage,January DegreeC -HighRecord,July DegreeC -LowRecord,July DegreeC  -LowAverage,July DegreeC -HighAverage,July DegreeC -HighRecord,Annual DegreeC -LowRecord,Annual DegreeC  -LowAverage,Annual DegreeC -HighAverage,Annual DegreeC -HighRecord,Days >30Degree,Days >20Degree,Frosts,Max temp <0Degree,Days <-10Degree,Days <?20Degree,Frost-free days
Baker Lake,NU,YBK,64.29889,-96.07778,18.6,-50.6,-34.8,-27.7,-27.7,-1.7,6.1,17,33.6,-50.6,-15.2,-7.3,33.6,0.21,13.1,270.5,225.5,206.3,158.2,65
Calgary,AB,YYC,51.11389,-114.02028,"1,084",-44.4,-13.2,-0.9,17.6,-0.6,9.8,23.2,36.1,-45,-1.9,10.8,36.1,5.1,87.2,194.4,59.3,71.3,21.7,117
Charlottetown,PE,YYG,46.28861,-63.12861,49,-30.5,-12.1,-3.4,15.1,3.3,14.1,23.3,33.9,-30.5,1.3,9.9,34.4,0.9,79.3,160.2,72.6,54.6,6.5,153
Churchill,MB,YYQ,58.73917,-94.06639,29,-45,-30.1,-21.9,1.7,1.1,7.3,18,34,-45.4,-10.7,-2.3,36.9,1.1,28,247.5,193.7,171,117.2,87
Dawson Creek,BC,YDA,64.04306,-139.12778,370,-53.8,-30.1,-21.8,9.7,-2,8.2,23.1,33.5,-55.8,-10.3,2.1,34.7,2.6,62.1,243.7,156.9,162.4,104.1,70
Edmonton,AB,YXD,53.57333,-113.51833,671,-49.4,-14.8,-6,13.8,-1.7,12.3,23.1,36.7,-49.4,-1,9.3,37.2,4,88.4,179.7,82.6,75.3,24.6,135
Fort Nelson,BC,YYE,58.83639,-122.59722,382,-51.7,-24.6,-16.1,10.7,1.1,10.9,23.2,36.7,-51.7,-6,5.2,36.7,3.3,78.1,214.2,133.6,139.1,79.8,117
Fredericton,NB,YFC,45.87222,-66.52778,21,-35.6,-15,-3.8,14.6,1.7,13,25.5,36.7,-37.2,-0.2,11.4,37.2,9,104.4,172.9,69.1,72.6,20,130
Halifax(city),NS,YHZ,44.88,-63.5,145,-28.5,-10.4,-1.3,14.8,6.1,13.7,23.8,33.9,-28.5,1.9,11.3,35,1,78.2,131,47,29.8,0.8,182
High Level,AB,YOJ,58.62139,-117.16472,338,-50.6,-25.8,-15,11.3,-0.2,9.9,23,34.4,-50.6,-7.2,5.2,35.2,2.7,76.5,224.8,136.3,138.9,79.9,91
Iqaluit,NU,YFB,63.75,-68.55,34,-45,-30.9,-22.8,3.9,-2.8,4.1,12.3,26.1,-45.6,-13.1,-5.6,26.1,0,2.1,265.8,212.2,182.4,130.6,74
Moncton,NB,YQM,46.10528,-64.68389,71,-32.2,-14,-3.7,16.1,1.2,12.9,24.7,35.6,-32.2,0.1,10.7,37.2,6.8,99.1,166.9,70,58.9,14,131
Montreal,QC,YUL,45.46667,-73.75,36,-37.8,-14,-5.3,13.9,6.1,16.1,26.3,35.6,-37.8,2,11.5,37.6,9.3,117.1,147.7,74,62.9,14.3,165
