Location,Location Latitude,Location Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Radius Category
Calgary,51.048967,-114.067123,Over Easy Breakfast,51.048560757832206,-114.06591650826027,Breakfast Spot,100
Calgary,51.048967,-114.067123,Monogram Coffee,51.049165221064854,-114.06733253949304,Coffee Shop,100
Calgary,51.048967,-114.067123,Starbucks,51.048256,-114.067061,Coffee Shop,100
Calgary,51.048967,-114.067123,Booster Juice,51.048725,-114.06834,Juice Bar,100
Calgary,51.048967,-114.067123,Tim Hortons,51.0493233,-114.068079,Coffee Shop,100
Calgary,51.048967,-114.067123,International Hotel Suites,51.04973,-114.066508,Hotel,100
Charlottetown,46.234212,-63.127499,Redwater Rustic Grille,46.23505525004317,-63.12713612154101,Restaurant,100
Charlottetown,46.234212,-63.127499,COWS Queen Street,46.23464963170164,-63.12813949949169,Ice Cream Shop,100
Charlottetown,46.234212,-63.127499,Receiver Coffee,46.2338982601041,-63.126880542392165,Coffee Shop,100
Charlottetown,46.234212,-63.127499,Mavor's Bistro & Bar,46.234679371842375,-63.1270805283182,Restaurant,100
Charlottetown,46.234212,-63.127499,Confederation Centre of the Arts,46.23461401194047,-63.127214407319535,Performing Arts Venue,100
Charlottetown,46.234212,-63.127499,John Brown Richmond Street Grille,46.233929318035194,-63.126640340041675,Gastropub,100
Charlottetown,46.234212,-63.127499,The Guild,46.23351763448307,-63.12722138800159,Art Gallery,100
Charlottetown,46.234212,-63.127499,Row House Lobster Co,46.234059,-63.126294,Seafood Restaurant,100
Charlottetown,46.234212,-63.127499,Casa Mia Café,46.23395092954153,-63.12784910202026,Café,100
Charlottetown,46.234212,-63.127499,The Pilot House,46.23392795340132,-63.12865633500646,American Restaurant,100
Charlottetown,46.234212,-63.127499,Fishbones Oyster Bar & Grill,46.23403993725152,-63.126532877758244,Seafood Restaurant,100
Charlottetown,46.234212,-63.127499,China Garden,46.23349584285013,-63.126793058072494,Chinese Restaurant,100
Charlottetown,46.234212,-63.127499,Subway,46.2347323,-63.128151,Sandwich Place,100
Churchill,58.77001,-94.16548900000001,Eskimo Museum,58.770191627300036,-94.16710138320923,Art Museum,100
Fredericton,45.962307,-66.642358,Palate Restaurant & Cafe,45.96233821565255,-66.64177617467865,Restaurant,100
Fredericton,45.962307,-66.642358,Picaroon's Brewtique,45.96270143991616,-66.64273113600812,Brewery,100
Fredericton,45.962307,-66.642358,Read's News Stand,45.9618593629089,-66.64346436837323,Coffee Shop,100
Fredericton,45.962307,-66.642358,Cora's Breakfast & Lunch,45.96228195163872,-66.64160727304274,Breakfast Spot,100
Fredericton,45.962307,-66.642358,Strange Adventures,45.96273341059763,-66.64331491173887,Hobby Shop,100
Fredericton,45.962307,-66.642358,bulgogi,45.96152194430416,-66.6427423523576,Korean Restaurant,100
Fredericton,45.962307,-66.642358,boom! Nightclub,45.962315043137686,-66.64164454554812,Nightclub,100
Fredericton,45.962307,-66.642358,King's Place Mall,45.961678671180785,-66.6432671003085,Shopping Mall,100
Fredericton,45.962307,-66.642358,Dooley's,45.96186072771008,-66.6423327804814,Pool Hall,100
Fredericton,45.962307,-66.642358,unplugged,45.96265709625068,-66.64321806498715,General Entertainment,100
Fredericton,45.962307,-66.642358,Endeavours & Thinkplay,45.962798,-66.6428,Arts & Crafts Store,100
Fredericton,45.962307,-66.642358,Room 2 Remember,45.962001,-66.641214,Furniture / Home Store,100
Halifax,44.646946,-63.575615,The Wooden Monkey,44.64696747823336,-63.57547073718991,Vegetarian / Vegan Restaurant,100
Halifax,44.646946,-63.575615,Gio Restaurant,44.647067610032344,-63.57601730970989,Restaurant,100
